PIN number,Lot Address
16-08-416-005-0000,5665 W WEST END AVE
13-33-318-019-0000,1703 N LATROBE AVE
13-33-418-041-0000,5114 W CONCORD PL
16-04-321-022-0000,942 N LOCKWOOD AVE
16-04-415-038-0000,908 N LEAMINGTON
16-05-414-024-0000,1032 N. PARKSIDE
16-05-418-029-0000,5938 W IOWA ST
16-08-202-011-0000,5746 W SUPERIOR ST
16-08-206-003-0000,745 N WALLER AVE
16-08-206-014-0000,744 N Parkside
16-08-401-017-0000,330 N. MAYFIELD AVE
16-08-401-018-0000,326 N. MAYFIELD
16-08-401-024-0000,306 N MAYFIELD
16-08-402-001-0000,5843 W LAKE ST
16-08-409-004-0000,237 N MENARD AVE
16-08-414-013-0000,156 N MENARD AVE
16-08-416-001-0000,157 N. WALLER AVE.
16-08-416-002-0000,155 N. WALLER
16-08-422-021-0000,18 N Parkside Ave
16-09-108-001-0000,4952 W HURON ST
16-09-110-015-0000,619 N LONG AVE
16-09-110-036-0000,608 N LOREL
16-09-111-021-0000,5314 WEST OHIO
16-09-115-021-0000,5448 W RACE AVE
16-09-120-050-0000,517 N LOCKWOOD AVE
16-09-124-016-0000,5231 W FERDINAND ST
16-09-204-014-0000,4852 W SUPERIOR ST
16-09-204-015-0000,4848 W SUPERIOR ST
16-09-207-008-0000,4839 W SUPERIOR ST
16-09-208-024-0000,638 N LEAMINGTON AVE
16-09-209-010-0000,629 N. LEAMINGTON
16-09-220-035-0000,4926 W RACE AVE
16-09-222-008-0000,4937 W RACE AVE
16-09-302-015-0000,322 N LONG AVE
16-09-312-003-0000,231 N LOCKWOOD
16-09-315-029-0000,120 N LOTUS AVE
16-09-316-026-0000,142 N LONG AVE
16-09-317-014-0000,154 N LOREL AVE
16-09-317-031-0000,5331 W WASHINGTON BLVD
16-09-319-018-0000,48 N LOTUS AVE
16-09-323-010-0000,47 N. LOCKWOOD
16-09-403-037-0000,5136 W FULTON ST
16-10-108-041-0000,4706 W RACE
16-11-401-008-0000,3440 W CARROLL AVE
16-11-401-009-0000,3438 W CARROLL AVE
16-11-401-011-0000,3434 W CARROLL AVE
16-11-403-020-0000,3513 W CARROLL AVE
16-11-403-028-0000,3540 W FULTON BLVD
16-11-403-035-0000,3518 W FULTON BLVD
16-11-403-039-0000,3500 W FULTON BLVD
16-11-404-035-0000,3430 W FULTON BLVD
16-11-404-042-0000,3408 W FULTON BLVD
16-11-404-045-0000,314 N HOMAN AVE
16-11-405-063-0000,3300 W FULTON BLVD
16-11-406-017-0000,3514 W WALNUT ST
16-11-407-001-0000,3459 W FULTON ST
16-11-407-010-0000,3435 W FULTON ST
16-11-407-012-0000,3431 W FULTON BLVD
16-11-408-020-0000,3301 W FULTON BLVD
16-11-408-025-0000,3243 W FULTON BLVD
16-11-408-080-0000,3232 W WALNUT ST
16-11-408-085-0000,3222 W WALNUT ST
16-11-410-007-0000,3443 W WALNUT ST
16-11-410-022-0000,3409 W WALNUT ST
16-11-410-023-0000,3407 W WALNUT ST
16-11-411-023-0000,3307 W WALNUT ST
16-11-412-049-0000,3246 W MAYPOLE AVE
16-11-412-051-0000,3240 W MAYPOLE AVE
16-11-413-035-0000,3306 W WASHINGTON BLVD
16-11-414-028-0000,3207 W WASHINGTON BLVD/52 N KEDZIE AVE
16-12-305-008-0000,313 N WHIPPLE ST/3018 W FULTON ST
16-12-306-024-0000,311 N SACRAMENTO AVE
16-12-306-027-0000,2948 W FULTON ST
16-12-308-034-0000,3134 W WALNUT ST
16-12-308-041-0000,3120 W WALNUT ST
16-12-308-042-0000,3118 W WALNUT ST
16-12-308-047-0000,3108 W WALNUT ST
16-12-308-048-0000,3106 W WALNUT ST
16-12-310-007-0000,2945 W FULTON ST
16-12-310-018-0000,2917 W FULTON ST
16-12-310-037-0000,2924 W WALNUT ST
16-12-310-042-0000,2912 W WALNUT ST
16-12-310-044-0000,2906 W WALNUT ST
16-12-313-014-0000,3031 W WALNUT ST
16-12-313-017-0000,3023 W WALNUT ST
16-12-319-005-0000,3146 W WASHINGTON BLVD
16-12-319-009-0000,3136 W WASHINGTON BLVD
16-12-319-011-0000,3130 W WASHINGTON BLVD
16-12-322-011-0000,117 N FRANCISCO AVE
16-12-322-012-0000,115 N FRANCISCO AVE
16-12-323-015-0000,113 N MOZART ST
16-12-324-009-0000,3129 W WASHINGTON BLVD
16-12-326-014-0000,2919 W WASHINGTON BLVD
16-12-329-014-0000,3031 W WARREN BLVD
16-12-330-002-0000,2955 W WARREN BLVD
16-12-330-025-0000,2901 W WARREN BLVD
16-12-415-044-0000,2758 W MAYPOLE AVE
16-12-415-055-0000,2738 W MAYPOLE AVE
16-12-415-073-0000,2674 W MAYPOLE AVE
16-12-415-074-0000,2672 W MAYPOLE AVE
16-12-415-076-0000,2666 W MAYPOLE AVE
16-12-415-080-0000,2656 W MAYPOLE AVE
16-12-418-032-0000,2639 W MAYPOLE AVE
16-12-421-015-0000,2721 W WASHINGTON BLVD
16-12-421-016-0000,2719 W WASHINGTON BLVD
16-12-421-034-0000,2736 W WARREN BLVD
16-12-426-016-0000,2633 W WARREN BLVD
16-13-101-010-0000,17 S ALBANY AVE
16-13-102-004-0000,3009 W MADISON ST
16-13-103-028-0000,2936 W MONROE ST
16-13-103-029-0000,2934 W MONROE ST
16-13-103-030-0000,2932 W MONROE ST
16-13-104-010-0000,2945 W MONROE ST
16-13-104-011-0000,2943 W MONROE ST
16-13-104-013-0000,2939 W MONROE ST
16-13-104-019-0000,2942 W FIFTH AVE
16-13-104-020-0000,2940 W FIFTH AVE
16-13-108-037-0000,2926 W WILCOX ST
16-13-109-014-0000,2825 W MONROE ST
16-13-109-033-0000,2820 W WILCOX ST
16-13-110-008-0000,2945 W WILCOX ST
16-13-110-020-0000,2921 W WILCOX ST
16-13-115-006-0000,3021 W FIFTH AVE
16-13-115-025-0000,120 S SACRAMENTO BLVD
16-13-116-010-0000,2937 W ADAMS ST Chicago IL
16-13-116-024-0000,2958 W JACKSON BLVD
16-13-116-027-0000,2946 W JACKSON BLVD
16-13-121-018-0000,331 S SACRAMENTO BLVD
16-13-121-020-0000,318 S RICHMOND ST
16-13-200-019-0000,2750 W MONROE ST
16-13-202-006-0000,2549 W MADISON ST
16-13-202-029-0000,2530 W MONROE ST
16-13-212-039-0000,2718 W JACKSON BLVD
16-13-213-007-0000,2639 W ADAMS ST
16-13-213-013-0000,2648 W JACKSON BLVD
16-13-216-037-0000,2724 W GLADYS AVE
16-13-216-043-0000,2710 W GLADYS AVE
16-13-216-045-0000,314-318 S WASHTENAW AVE
16-13-216-049-0000,314 S WASHTENAW AVE/2702-08 WEST GLADYS AVE
16-13-217-006-0000,2645 W JACKSON BLVD
16-13-223-008-0000,2733 W GLADYS AVE
16-13-223-010-0000,2723 W GLADYS AVE
16-13-300-025-0000,3116 W FLOURNOY ST
16-13-302-022-0000,2942 W FLOURNOY ST
16-13-302-026-0000,2928 W FLOURNOY ST
16-13-302-034-0000,2908 FLOURNOY ST
16-13-304-010-0000,3137 W FLOURNOY ST
16-13-305-025-0000,3054 W LEXINGTON ST
16-13-305-033-0000,3034 W LEXINGTON ST
16-13-306-016-0000,2943 W FLOURNOY ST
16-13-306-020-0000,2929 W FLOURNOY ST
16-13-306-021-0000,2925 W FLOURNOY ST
16-13-307-004-0000,2851 W FLOURNOY ST
16-13-307-026-0000,2852 W LEXINGTON ST
16-13-307-033-0000,2836 W LEXINGTON ST
16-13-309-028-0000,3048 W POLK ST
16-13-309-035-0000,3030 W POLK ST
16-13-310-011-0000,2929 W LEXINGTON ST
16-13-310-012-0000,2927 W LEXINGTON ST
16-13-311-014-0000,2821 W LEXINGTON ST
16-13-313-019-0000,3015 W POLK ST
16-13-313-024-0000,808 S SACRAMENTO AVE
16-13-318-017-0000,2919 W ARTHINGTON ST
16-14-200-017-0000,3526 W MONROE ST
16-14-202-026-0000,3354 W MONROE ST
16-14-202-038-0000,3324 W MONROE ST
16-14-204-010-0000,3533 W MONROE ST
16-14-204-011-0000,3531 W MONROE ST
16-14-205-038-0000,3406 W ADAMS ST
16-14-205-039-0000,120 S HOMAN AVE
16-14-206-030-0000,115 S HOMAN AVE
16-14-206-038-0000,3344 W ADAMS ST
16-14-208-009-0000,3525 W ADAMS ST
16-14-208-010-0000,3523 W ADAMS ST
16-14-209-031-0000,3436 W JACKSON BLVD
16-14-209-035-0000,3426 W JACKSON BLVD
16-14-209-043-0000,3400 W JACKSON BLVD
16-14-210-023-0000,3358 W JACKSON BLVD
16-14-214-014-0000,3513 W JACKSON BLVD
16-14-216-021-0000,3544 W VAN BUREN ST
16-14-216-028-0000,3526 W VAN BUREN ST
16-14-218-006-0000,331 S TRUMBULL AVE
16-14-222-014-0000,3318 W VAN BUREN ST
16-14-222-017-0000,3310 W VAN BUREN ST
16-14-222-021-0000,3300 W VAN BUREN ST
16-14-224-020-0000,3519 W VAN BUREN ST
16-14-224-022-0000,3515 W VAN BURREN ST
16-14-227-010-0000,3333 W VAN BUREN ST
16-14-308-019-0000,708 S CENTRAL PARK AVE
16-14-312-006-0000,3641 W LEXINGTON ST
16-14-312-028-0000,3638 W POLK ST
16-14-404-001-0000,701 S CENTRAL PARK AV
16-14-407-020-0000,3252 W LEXINGTON ST
16-14-407-023-0000,3244 W LEXINGTON ST
16-14-407-024-0000,3242 W LEXINGTON ST
16-14-407-026-0000,3238 W LEXINGTON ST
16-14-407-035-0000,3214 W LEXINGTON ST
16-14-411-005-0000,3245 W LEXINGTON ST
16-14-411-013-0000,3223 W LEXINGTON ST
16-14-411-014-0000,3221 W LEXINGTON ST
16-16-101-024-0000,5448 WEST MONROE
16-16-101-025-0000,5446 W MONROE ST
16-16-102-016-0000,5244 W MONROE ST
16-16-104-011,5421 W MONROE ST
16-16-118-029-0000,5321 W VANBUREN
16-16-221-067-0000,4820 W HARRISON ST
20-07-308-053,2124 W 52ND PL
20-07-316-016,5346 S SEELEY AVE
20-07-316-017,5348 S SEELEY AVE
20-07-401-019,5135 S WINCHESTER AVE
20-07-408-006,5213 S DAMEN AVE
20-07-411-030,5220 S Wood ST
20-07-412-030,5214 S HERMITAGE AVE
20-07-412-038,5236 S HERMITAGE AVE
20-07-413-048,5258 S PAULINA ST
20-07-417-016,5337 S WINCHESTER AVE
20-07-417-026,5302 S WOLCOTT AVE
20-07-421-001,5301 S HERMITAGE AVE
20-07-421-033,5320 S PAULINA ST
20-07-430-001,5401 S PAULINA ST
20-07-430-015,5437 S PAULINA ST
20-07-431-008,5419 S MARSHFIELD AVE
20-08-125-023,5010 S LAFLIN ST
20-08-125-025,5014 S LAFLIN ST
20-08-213-025,842 W 50TH ST
20-08-213-028,834 W 50TH ST
20-08-217-027,5022 S MORGAN ST
20-08-217-028,5024 S MORGAN ST
20-08-217-029,5026 S MORGAN ST
20-08-219-016,821 W 50TH ST
20-08-219-017,817 W 50TH ST
20-08-300-035,5136 S JUSTINE ST
20-08-300-040,5146 S JUSTINE ST
20-08-308-020,5204 S JUSTINE ST
20-08-308-021,5206 S JUSTINE ST
20-08-308-022,5208 S JUSTINE ST
20-08-308-035,5238 S JUSTINE ST
20-08-309-012,5235 S JUSTINE ST
20-09-302-035,5124 S LOWE AVE
20-09-319-035,5300 S WALLACE ST
20-09-328-012,725 W 54TH PL
20-09-328-012-0000,725 W 54TH PL
20-09-328-013,723 W 54TH PL
20-09-328-013-0000,723 W 54TH PL (FRONT & REAR)
20-09-329-002,5437 S UNION AVE
20-09-329-020,609 W 54TH PL
20-09-329-021,607 W 54TH PL
20-09-409-009,318 W 53RD ST
20-09-417-001,5301 S PRINCETON AVE
20-09-417-002,5303 S PRINCETON AVE
20-09-417-014,5337 S PRINCETON AVE
20-10-119-013,5006 S MICHIGAN AVE
20-10-120-011,5025 S MICHIGAN AVE
20-10-310-036,5320 S INDIANA AVE
20-10-310-041,5336 S INDIANA AVE
20-14-308-029,6140 S INGLESIDE AVE
20-14-308-038,6160 S INGLESIDE AVE
20-14-309-017,6158 S ELLIS AVE
20-14-317-017,6212 S UNIVERSITY AVE
20-14-317-019,6220 S UNIVERSITY AVE
20-14-408-003,6117 S KIMBARK AVE
20-15-105-001,5521 S INDIANA AVE
20-15-105-002,5523 S INDIANA AVE
20-15-107-041,5634 S WABASH AVE
20-15-110-008,5623 S INDIANA AVE
20-15-111-008,5631 S PRAIRIE AVE
20-15-112-013,5655 S CALUMET AVE
20-15-112-014,5659 S CALUMET AVE
20-15-112-025,5650 S DR MARTIN LUTHER KING JR DR
20-15-304-010-011,5941 S PRAIRIE AVE
20-15-305-008,5923 S CALUMET AVE
20-15-305-009,5925 S CALUMET AVE
20-15-404-026,6044 S ST LAWRENCE AVE
20-15-408-006,6131 S DR MARTIN LUTHER KING JR DR
20-15-410-021,6124 S RHODES AVE
20-15-411-003,6111 S RHODES AVE
20-15-411-036,548 E 62ND ST/6156 S ST LAWRENCE AVE
20-15-419-008,6229 S RHODES AVE
20-16-113-028,5724 S UNION AVE
20-16-113-030,5730 S UNION AVE
20-16-201-041,5643 S SHIELDS AVE
20-16-201-063,5566 S PRINCETON AVE
20-16-201-084,5652 S PRINCETON AVE
20-16-207-029,5621 S LAFAYETTE AVE
20-16-207-030,5623 S LAFAYETTE AVE
20-16-208-009,5648 S SHIELDS AVE
20-16-209-039,5722 S PRINCETON AVE
20-16-221-016,5805 S LAFAYETTE AVE 5801 S LAFAYETTE AVE
20-16-221-017,5817 S LAFAYETTE AVE
20-16-301-062,638 W 60TH ST
20-16-308-015,734 W 61ST ST
20-16-311-004,537 W 60TH ST
20-16-311-018-0000,526 W 60TH PL
20-16-315-010,731 W 61ST ST
20-16-317-018,448 W 61ST PL
20-16-318-033,643 W 61ST PL
20-16-318-034,641 W 61ST PL
20-16-319-013,515 W 61ST PL
20-16-322-010,519 W 62ND ST
20-16-323-022,442 W ENGLEWOOD AVE
20-16-400-003,343 W 59TH ST
20-16-402-022,330 W 60TH ST
20-16-402-023,326 W 60TH ST
20-16-407-012,313 W 60TH ST
20-16-415-044,320 W 61ST PL
20-16-415-048,310 W 61ST PL
20-17-102-014,5527 S LAFLIN ST
20-17-106-003,1247 W GARFIELD BLVD
20-17-120-029,5710 S ADA ST
20-17-120-037,5730 S ADA ST
20-17-126-016,5812 S BISHOP ST
20-17-126-017,5814 S BISHOP ST
20-17-205-001,925 W GARFIELD BLVD
20-17-208-029,5610 S MAY ST
20-17-216-017,5746 S MAY ST
20-17-217-020,5745 S MAY ST
20-17-219-005,5711 S CARPENTER ST
20-17-303-026,5938 S LOOMIS BLVD
20-17-312-026,6020 S ADA ST
20-17-312-027,6022 S ADA ST
20-17-318-027,6132 S BISHOP ST
20-17-330-001,6201 S ADA ST
20-17-330-007,6217 S ADA ST
20-17-331-005,6217 S THROOP ST
20-17-403-023,5949 S CARPENTER ST
20-17-406-007,5915 S PEORIA ST
20-17-406-008,5917 S PEORIA ST
20-17-411-010,6023 S CARPENTER ST
20-17-411-017,6043 S CARPENTER ST
20-17-411-022,1018 W 61ST ST
20-17-411-043,6054 S MORGAN ST
20-17-419-007,1001 W 61ST ST
20-18-204-001-0000,5511 S WOOD ST 
20-18-204-024,5526 S HERMITAGE AVE
20-18-206-017,5516 S MARSHFIELD AVE
20-18-214-003,5605 S PAULINA ST
20-18-403-040,5946 S WOOD ST
20-18-403-041,5948 S WOOD ST
20-18-404-042,5948 S HERMITAGE AVE
20-18-407-016,5943 S MARSHFIELD AVE
20-18-409-025,6000 S WOLCOTT AVE
20-18-409-025-0000,6000 S WOLCOTT
20-18-409-027,6004 S WOLCOTT AVE
20-18-409-027-0000,6005 S WOLCOTT
20-18-414-022,6014 S MARSHFIELD AVE
20-18-414-023,6016 S MARSHFIELD AVE
20-18-429-006,6213 S HERMITAGE AVE
20-18-429-007,6217 S HERMITAGE AVE
20-19-105-026,6353 S HAMILTON AVE
20-19-113-006,6417 S HOYNE AVE
20-19-202-032,6336 S HONORE ST
20-19-210-021,6400 S HONORE ST
20-19-210-021-0000,6400 S HONORE ST
20-19-211-002,6403 S HONORE ST
20-19-211-002-0000,6403 S HONORE ST
20-19-228-011,6631 S WOOD ST
20-19-339-025,2054 W 71ST ST
20-19-406-043,1655 W MARQUETTE RD
20-19-411-002-003,6803 S HONORE ST
20-19-413-032,6832 S PAULINA ST
20-19-415-002,6803 S MARSHFIELD AVE
20-19-429-005,7011 S HERMITAGE AVE
20-19-430-025,7014 S MARSHFIELD AVE
20-20-101-011,6321 S JUSTINE ST
20-20-108-041,6444 S JUSTINE ST
20-20-109-038,6432 S LAFLIN ST
20-20-109-039,6434 S LAFLIN ST
20-20-111-026,6406 S LOOMIS BLVD
20-20-111-046,6456 S LOOMIS AVE
20-20-113-045,6537 S JUSTINE AVE
20-20-208-025,6402 S MAY ST
20-20-208-031,6420 S MAY ST
20-20-209-001,6403 S MAY ST
20-20-210-027,6416 S CARPENTER ST
20-20-214-001,6401 S PEORIA ST
20-20-217-041,6546 S ABERDEEN ST
20-20-224-006,6617 S RACINE AVE
20-20-305-021,6743 S ADA ST
20-20-305-022,6745 S ADA ST
20-20-319-004,1417 W 69TH ST
20-20-319-005,1415 W 69TH ST
20-20-331-012,7031 S ELIZABETH ST
20-20-401-023,6757 S MAY ST
20-20-401-024,6759 S MAY ST
20-20-405-011,6725 S SANGAMON ST
20-20-405-011-0000,6725 S SANGAMON ST
20-20-405-012,6727 S SANGAMON ST
20-20-405-012-0000,6727 S SANGAMON ST (FRONT & REAR)
20-20-406-019,6751 S PEORIA ST
20-20-413-025,6804 S PEORIA ST
20-20-413-039,6842 S PEORIA ST
20-20-413-044,6854 S PEORIA ST
20-20-415-009,6819 S GREEN ST
20-20-430-025,7038 S GREEN ST
20-20-430-026,7040 S GREEN ST
20-21-105-034,6340 S NORMAL AVE
20-21-116-023,6557 S EMERALD AVE
20-21-118-003,6500 S PARNELL AVE
20-21-118-004,6502 S PARNELL AVE
20-21-120-001,6535 S PARNELL AVE
20-21-120-007,6547 S PARNELL AVE
20-21-123-024,6622 S UNION AVE
20-21-127-024,6620 S NORMAL BLVD
20-21-204-016,319 W 64TH ST
20-21-209-021,6524 S YALE AVE
20-21-209-043,6543 S HARVARD AVE
20-21-210-009,6531 S YALE AVE
20-21-215-016,6626 S YALE AVE
20-21-215-024,6627 S HARVARD AVE
20-21-216-003,219 W 66TH ST
20-21-216-005,223 W 66TH ST
20-21-216-013,6647 S YALE AVE
20-21-216-015,6657 S YALE AVE
20-21-310-002,6805 S PARNELL AVE
20-21-316-004,6913 S LOWE AVE
20-21-322-007,7017 S EMERALD AVE
20-21-322-008,7019 S EMERALD AVE
20-21-324-013,7037 S LOWE AVE
20-21-324-016,622-24 W 71st St 2023212025
20-21-325-004,7014 S PARNELL AVE
20-21-325-005,7022 S PARNELL AVE
20-21-327-024-0000,7016 S EGGLESTON AVE
20-21-327-025-0000,7020 S EGGLESTON AVE
20-21-400-014-0000,319 W MARQUETTE RD
20-21-400-034,318 W NORMAL PKWY
20-21-400-035,316 W NORMAL PKWY
20-21-402-015,6704 S PERRY ST
20-21-403-005,6713 S PERRY ST
20-21-413-007,6927 S PRINCETON AVE
20-21-413-008,6929 S PRINCETON AVE
20-21-415-017,154 W 70TH ST
20-21-415-023,6914 S PERRY AVE
20-22-202-021,6312 S RHODES AVE
20-22-202-026,6326 S RHODES AVE
20-22-205-011-0000,6323 S CHAMPLAIN AVE
20-22-205-022,6357 S CHAMPLAIN AVE
20-22-209-005,6413 S VERNON AVE
20-22-209-019,6406 S EBERHART AVE
20-22-211-021,6457 S RHODES AVE
20-22-211-040,6454 S ST LAWRENCE AVE
20-22-212-007,6419 S ST LAWRENCE AVE
20-22-212-029,6416 S CHAMPLAIN AVE
20-22-225-044,456 E 67TH ST
20-22-228-042,622 E 67TH ST
20-22-310-010,6815 S PRAIRE AVE
20-22-419-033,7028 S VERNON AVE
20-22-419-034,7032 S VERNON AVE
20-23-102-013,6406 S MARYLAND AVE
20-23-102-017,6434 S MARYLAND AVE
20-23-103-028,6416 S DREXEL AVE
20-23-105-044,6338 S ELLIS AVE
20-23-105-052,6368 S ELLIS AVE
20-23-114-022-0000,6555 S DREXEL AVE
20-23-115-019,6504 S ELLIS AVE
20-23-115-036,6554 S ELLIS AVE
20-23-117-006,6519 S GREENWOOD AVE
20-23-117-006-0000,6519 S GREENWOOD AVE
20-23-117-032,6540 S UNIVERSITY AVE
20-23-117-032-0000,6540-42 S UNIVERSITY
20-23-118-027,6540 S MINERVA AVE
20-23-201-023,6344 S KENWOOD AVE
20-23-210-009,6430 S KIMBARK AVE
20-23-210-011,6428 S KIMBARK AVE
20-23-210-015,6454 S Kimbark Ave
20-23-211-015,6525 S WOODLAWN AVE
20-23-211-015-0000,6525 S WOODLAWN AVE
20-23-211-040,6532 S KIMBARK AVE
20-23-213-004,6411 S KENWOOD AVE
20-23-213-036,6430 S DORCHESTER AVE
20-23-213-039,6442 S DORCHESTER AVE
20-23-213-044,6460 S DORCHESTER AVE
20-23-213-050,6512 S DORCHESTER AVE
20-23-219-014,1415 E 65TH PL
20-23-219-016,1514 E 65TH PL
20-23-221-021,1520 E MARQUETTE RD
20-23-224-012,6643 S KENWOOD AVE
20-23-423-023,7016 HARPER AVE
20-23-423-024,7018 HARPER AVE
20-26-122-018,7347 S UNIVERSITY AVE
20-27-209-002,7205 S VERNON AVE
20-28-106-024,7128 S EGGLESTON AVE
20-28-109-029,7216 S UNION AVE
20-28-202-014,7153 S PRINCETON AVE
20-28-209-013,7249 S HARVARD AVE
20-28-210-018,7206 S YALE AVE
20-28-216-015-0000,6300 S HARVARD AVE
20-28-217-001,7301 S HARVARD AVE
20-28-217-004,7315 S HARVARD AVE
20-28-304-009,7535 S PARNELL AVE
20-28-306-004,7511 S EGGLESTON AVE
20-29-104-035,1270 W 71ST PL
20-29-109-003,1275 W 71ST PL
20-29-114-046,1216 W 72ND PL
20-29-206-002,855 W 71ST ST
20-29-212-030,7212 S SANGAMON ST
20-29-212-031,7214 S SANGAMON ST
20-29-223-016,7339 S GREEN ST
20-30-214-044,7252 S MARSHFIELD AVE
25-15-121-063-0000,10606 S INDIANA AVE
25-21-205-011-0000,227 WEST 111TH PLACE
25-22-309-015-0000,11704 S MICHIGAN
25-22-309-017-0000,11714 S MICHIGAN
25-16-410-005-0000,43 W 108TH ST
25-10-316-023-0000,57 E. 101ST. PLACE
25-16-427-011-0000,321 W 110TH PL
25-21-121-038-0000,11313 S PARNELL AVE
25-16-426-029-0000,16 W. 110th Pl.
25-16-430-014-0000,21 WEST 110TH PLACE
16-09-310-022-0000,224 N Lorel
16-09-310-025-0000,214 N Lorel
25-21-219-021-0000,11306 S WENTWORTH AVE
16-04-412-025-0000,4826 W CORTEZ ST
25-09-211-009-0000,9621 S YALE AVE
25-16-404-023-0000,114 W 108TH ST
25-16-424-018-0000,209 W 110TH ST
25-16-424-019-0000,207 W 110TH ST
25-16-424-020-0000,205 W 110TH ST
25-16-405-003-0000,51 W. 107TH ST.
25-16-209-013-0000,131 W 104TH PL
25-16-209-044-0000,128 W 105TH
16-09-317-014-0000,154 N LOREL AVE
25-16-202-002-0000,153 W. 103rd ST
16-09-206-026-0000,4948 W HURON
25-16-424-021-0000,120 W 110TH ST
25-10-301-038-0000,34 E 100TH ST
25-16-428-010-0000,235 W 110TH PL
25-16-416-007-0000,243 W 109TH ST
25-21-220-023-0000,118 W. 113TH PLACE
25-09-204-010-0000,9515 S WENTWORTH AVE
25-09-204-030-0000,9518 S LA SALLE ST
25-09-209-043-0000,9635 S HARVARD AVE
20-28-316-007-0000,7721 S Union Ave
20-28-308-011-0000,7643 S Emerald Ave
20-28-310-005-0000,7615 S Lowe Ave
20-31-405-007-0000,8317 S Paulina St
20-32-210-031-0000,8042 S Carpenter St
20-32-428-029-0000,938 W 87th St
20-33-123-016-0000,8233 S Emerald Ave
25-04-105-017-0000,8736 S Normal Ave
25-04-109-005-0000,8815 S Emerald Ave
20-33-306-015-0000,8350 S Kerfoot Ave
20-32-105-010-0000,7925 S Ada St
20-28-309-012-0000,7641 S Union Ave
20-33-310-005-0000,8413 S Gilbert Ct
25-06-206-009-0000,8725 S Marshfield Ave
20-32-404-017-0000,8347 S Morgan St
20-23-211-030-0000,1219 E 65th St